date,value,yoy,mom,ytd_value,ytd_yoy,jan_feb_combined
2008-01-01,107.1,7.1,1.2,107.1,,False
2008-02-01,108.7,8.7,2.6,107.9,,False
2008-03-01,108.3,8.3,-0.7,108.0,,False
2008-04-01,108.5,8.5,0.1,108.2,,False
2008-05-01,107.7,7.7,-0.4,108.1,,False
2008-06-01,107.1,7.1,-0.2,107.9,,False
2008-07-01,106.3,6.3,0.1,107.7,,False
2008-08-01,104.9,4.9,-0.1,107.3,,False
2008-09-01,104.6,4.6,0.0,107.0,,False
2008-10-01,104.0,4.0,-0.3,106.7,,False
2008-11-01,102.4,2.4,-0.8,106.3,,False
2008-12-01,101.2,1.2,-0.24,105.9,,False
2009-01-01,101.0,1.0,0.94,101.0,,False
2009-02-01,98.4,-1.6,0.02,99.7,,False
2009-03-01,98.8,-1.2,-0.35,99.4,,False
2009-04-01,98.5,-1.5,-0.23,99.2,,False
2009-05-01,98.6,-1.4,-0.29,99.1,,False
2009-06-01,98.3,-1.7,-0.48,98.9,,False
2009-07-01,98.2,-1.8,0.01,98.8,,False
2009-08-01,98.8,-1.2,0.48,98.8,,False
2009-09-01,99.2,-0.8,0.45,98.9,,False
2009-10-01,99.5,-0.5,-0.08,98.9,,False
2009-11-01,100.6,0.6,0.33,99.1,,False
2009-12-01,101.9,1.9,1.04,99.3,,False
2010-01-01,101.5,1.5,0.62,101.5,,False
2010-02-01,102.7,2.7,1.17,102.1,,False
2010-03-01,102.4,2.4,-0.66,102.2,,False
2010-04-01,102.8,2.8,0.2,102.4,,False
2010-05-01,103.1,3.1,-0.07,102.5,,False
2010-06-01,102.9,2.9,-0.56,102.6,,False
2010-07-01,103.3,3.3,0.36,102.7,,False
2010-08-01,103.5,3.5,0.65,102.8,,False
2010-09-01,103.6,3.6,0.57,102.9,,False
2010-10-01,104.4,4.4,0.65,103.0,,False
2010-11-01,105.1,5.1,1.05,103.2,,False
2010-12-01,104.6,4.6,0.53,103.3,,False
2011-01-01,104.9,4.9,1.04,104.9,,False
2011-02-01,104.9,4.9,1.24,104.9,,False
2011-03-01,105.4,5.4,-0.21,105.0,,False
2011-04-01,105.3,5.3,0.14,105.1,,False
2011-05-01,105.5,5.5,0.07,105.2,,False
2011-06-01,106.4,6.4,0.28,105.4,,False
2011-07-01,106.5,6.5,0.46,105.5,,False
2011-08-01,106.2,6.2,0.31,105.6,,False
2011-09-01,106.1,6.1,0.47,105.7,,False
2011-10-01,105.5,5.5,0.09,105.6,,False
2011-11-01,104.2,4.2,-0.19,105.5,,False
2011-12-01,104.1,4.1,0.31,105.4,,False
2012-01-01,104.5,4.5,1.5,104.5,,False
2012-02-01,103.2,3.2,-0.11,103.9,,False
2012-03-01,103.6,3.6,0.2,103.8,,False
2012-04-01,103.4,3.4,-0.07,103.7,,False
2012-05-01,103.0,3.0,-0.28,103.5,,False
2012-06-01,102.2,2.2,-0.55,103.3,,False
2012-07-01,101.8,1.8,0.1,103.1,,False
2012-08-01,102.0,2.0,0.57,102.9,,False
2012-09-01,101.9,1.9,0.34,102.8,,False
2012-10-01,101.7,1.7,-0.09,102.7,,False
2012-11-01,102.0,2.0,0.12,102.7,,False
2012-12-01,102.5,2.5,0.79,102.6,,False
2013-01-01,102.0,2.0,1.01,102.0,,False
2013-02-01,103.2,3.2,1.06,102.6,,False
2013-03-01,102.1,2.1,-0.91,102.4,,False
2013-04-01,102.4,2.4,0.24,102.4,,False
2013-05-01,102.1,2.1,-0.56,102.4,,False
2013-06-01,102.7,2.7,0.0,102.4,,False
2013-07-01,102.7,2.7,0.1,102.4,,False
2013-08-01,102.6,2.6,0.46,102.5,,False
2013-09-01,103.1,3.1,0.81,102.5,,False
2013-10-01,103.2,3.2,0.06,102.6,,False
2013-11-01,103.0,3.0,-0.06,102.6,,False
2013-12-01,102.5,2.5,0.28,102.6,,False
2014-01-01,102.5,2.5,1.0,102.5,,False
2014-02-01,102.0,2.0,0.53,102.2,,False
2014-03-01,102.4,2.4,-0.49,102.3,,False
2014-04-01,101.8,1.8,-0.34,102.2,,False
2014-05-01,102.5,2.5,0.1,102.2,,False
2014-06-01,102.3,2.3,-0.13,102.3,,False
2014-07-01,102.3,2.3,0.05,102.3,,False
2014-08-01,102.0,2.0,0.18,102.2,,False
2014-09-01,101.6,1.6,0.45,102.1,,False
2014-10-01,101.6,1.6,0.03,102.1,,False
2014-11-01,101.4,1.4,-0.22,102.0,,False
2014-12-01,101.5,1.5,0.35,102.0,,False
2015-01-01,100.8,0.8,0.26,100.8,,False
2015-02-01,101.4,1.4,1.19,101.1,,False
2015-03-01,101.4,1.4,-0.55,101.2,,False
2015-04-01,101.5,1.5,-0.21,101.3,,False
2015-05-01,101.2,1.2,-0.17,101.3,,False
2015-06-01,101.4,1.4,0.03,101.3,,False
2015-07-01,101.6,1.6,0.31,101.3,,False
2015-08-01,102.0,2.0,0.48,101.4,,False
2015-09-01,101.6,1.6,0.1,101.4,,False
2015-10-01,101.3,1.3,-0.3,101.4,,False
2015-11-01,101.5,1.5,0.0,101.4,,False
2015-12-01,101.6,1.6,0.5,101.4,,False
2016-01-01,101.8,1.8,0.5,101.8,,False
2016-02-01,102.3,2.3,1.6,102.0,,False
2016-03-01,102.3,2.3,-0.4,102.1,,False
2016-04-01,102.3,2.3,-0.2,102.2,,False
2016-05-01,102.0,2.0,-0.5,102.1,,False
2016-06-01,101.9,1.9,-0.1,102.1,,False
2016-07-01,101.8,1.8,0.2,102.1,,False
2016-08-01,101.3,1.3,0.1,102.0,,False
2016-09-01,101.9,1.9,0.7,102.0,,False
2016-10-01,102.1,2.1,-0.1,102.0,,False
2016-11-01,102.3,2.3,0.1,102.0,,False
2016-12-01,102.1,2.1,0.2,102.0,,False
2017-01-01,102.5,2.5,1.0,102.5,,False
2017-02-01,100.8,0.8,-0.2,101.7,,False
2017-03-01,100.9,0.9,-0.3,101.4,,False
2017-04-01,101.2,1.2,0.1,101.4,,False
2017-05-01,101.5,1.5,-0.1,101.4,,False
2017-06-01,101.5,1.5,-0.2,101.4,,False
2017-07-01,101.4,1.4,0.1,101.4,,False
2017-08-01,101.8,1.8,0.4,101.5,,False
2017-09-01,101.6,1.6,0.5,101.5,,False
2017-10-01,101.9,1.9,0.1,101.5,,False
2017-11-01,101.7,1.7,0.0,101.5,,False
2017-12-01,101.8,1.8,0.3,101.6,,False
2018-01-01,101.5,1.5,0.6,101.5,,False
2018-02-01,102.9,2.9,1.2,102.2,,False
2018-03-01,102.1,2.1,-1.1,102.1,,False
2018-04-01,101.8,1.8,-0.2,102.1,,False
2018-05-01,101.8,1.8,-0.2,102.0,,False
2018-06-01,101.9,1.9,-0.1,102.0,,False
2018-07-01,102.1,2.1,0.3,102.0,,False
2018-08-01,102.3,2.3,0.7,102.0,,False
2018-09-01,102.5,2.5,0.7,102.1,,False
2018-10-01,102.5,2.5,0.2,102.1,,False
2018-11-01,102.2,2.2,-0.3,102.1,,False
2018-12-01,101.9,1.9,0.0,102.1,,False
2019-01-01,101.7,1.7,0.5,101.7,,False
2019-02-01,101.5,1.5,1.0,101.6,,False
2019-03-01,102.3,2.3,-0.4,101.8,,False
2019-04-01,102.5,2.5,0.1,102.0,,False
2019-05-01,102.7,2.7,0.0,102.2,,False
2019-06-01,102.7,2.7,-0.1,102.2,,False
2019-07-01,102.8,2.8,0.4,102.3,,False
2019-08-01,102.8,2.8,0.7,102.4,,False
2019-09-01,103.0,3.0,0.9,102.5,,False
2019-10-01,103.8,3.8,0.9,102.6,,False
2019-11-01,104.5,4.5,0.4,102.8,,False
2019-12-01,104.5,4.5,0.0,102.9,,False
2020-01-01,105.4,5.4,1.4,105.4,,False
2020-02-01,105.2,5.2,0.8,105.3,,False
2020-03-01,104.3,4.3,-1.2,104.9,,False
2020-04-01,103.3,3.3,-0.9,104.5,,False
