date,value,yoy,mom,ytd_value,ytd_yoy,jan_feb_combined
2008-01-01,109.6,26.6,-4.17,109.6,26.6,False
2008-02-01,87.4,6.5,-20.31,197.0,16.8,False
2008-03-01,109.0,30.6,24.72,305.9,21.4,False
2008-04-01,118.7,21.8,8.94,424.6,21.5,False
2008-05-01,120.5,28.1,1.51,545.1,22.9,False
2008-06-01,121.2,17.2,0.57,666.3,21.8,False
2008-07-01,136.7,26.9,12.79,802.9,22.6,False
2008-08-01,134.9,21.1,-1.32,937.7,22.4,False
2008-09-01,136.4,21.5,1.16,1074.1,22.2,False
2008-10-01,128.3,19.2,-5.94,1202.3,21.9,False
2008-11-01,115.0,-2.2,-10.4,1317.2,19.3,False
2008-12-01,111.2,-2.8,-3.33,1428.5,17.2,False
2009-01-01,90.5,-17.5,-18.63,90.5,-17.5,False
2009-02-01,64.9,-25.7,-28.26,155.3,-21.1,False
2009-03-01,90.3,-17.1,39.13,245.5,-19.7,False
2009-04-01,91.9,-22.6,1.82,337.4,-20.5,False
2009-05-01,88.8,-26.4,-3.46,426.1,-21.8,False
2009-06-01,95.5,-21.3,7.61,521.6,-21.8,False
2009-07-01,105.4,-23.0,10.37,627.1,-22.0,False
2009-08-01,103.7,-23.4,-1.63,730.7,-22.2,False
2009-09-01,115.9,-15.2,11.79,846.6,-21.3,False
2009-10-01,110.8,-13.8,-4.46,957.4,-20.5,False
2009-11-01,113.7,-1.2,2.61,1071.0,-18.8,False
2009-12-01,130.7,17.7,15.02,1201.7,-16.0,False
2010-01-01,109.5,21.0,-16.25,109.5,21.0,False
2010-02-01,94.5,45.7,-13.66,204.1,31.4,False
2010-03-01,112.1,24.3,18.61,316.2,28.7,False
2010-04-01,119.9,30.5,6.97,436.1,29.2,False
2010-05-01,131.8,48.5,9.87,567.7,33.2,False
2010-06-01,137.4,43.9,4.28,705.1,35.2,False
2010-07-01,145.5,38.1,5.91,850.5,35.6,False
2010-08-01,139.3,34.4,-4.27,989.7,35.5,False
2010-09-01,145.0,25.1,4.08,1134.6,34.0,False
2010-10-01,136.0,22.9,-6.21,1270.6,32.7,False
2010-11-01,153.3,34.9,12.76,1423.8,33.0,False
2010-12-01,154.1,17.9,0.54,1577.9,31.3,False
2011-01-01,150.7,37.7,-2.22,150.7,37.7,False
2011-02-01,96.7,2.4,-35.82,247.5,21.3,False
2011-03-01,152.2,35.8,57.33,399.6,26.5,False
2011-04-01,155.7,29.9,2.29,555.3,27.4,False
2011-05-01,157.2,19.4,0.95,712.4,25.5,False
2011-06-01,162.0,17.9,3.07,874.3,24.0,False
2011-07-01,175.1,20.4,8.12,1049.4,23.4,False
2011-08-01,173.3,24.5,-1.03,1222.6,23.6,False
2011-09-01,169.7,17.1,-2.1,1392.3,22.7,False
2011-10-01,157.5,15.9,-7.18,1549.7,22.0,False
2011-11-01,174.5,13.8,10.78,1724.0,21.1,False
2011-12-01,174.7,13.4,0.15,1898.6,20.3,False
2012-01-01,149.9,-0.5,-14.18,149.9,-0.5,False
