date,value,yoy,mom,ytd_value,ytd_yoy,jan_feb_combined
2008-01-01,7396.6,42.4,135.21,7396.6,42.4,False
2008-02-01,4158.8,36.6,-43.78,11555.4,40.2,False
2008-03-01,4416.0,24.7,6.18,15971.3,35.5,False
2008-04-01,6824.9,17.0,54.55,22796.2,29.4,False
2008-05-01,6268.2,52.6,-8.16,29064.4,33.8,False
2008-06-01,5743.8,30.7,-8.36,34808.2,33.3,False
2008-07-01,6073.5,16.5,5.74,40881.7,30.5,False
2008-08-01,3847.9,10.1,-36.64,44729.6,28.4,False
2008-09-01,4217.2,3.1,9.6,48946.9,25.8,False
2008-10-01,5329.0,-0.3,26.36,54275.8,22.6,False
2008-11-01,3792.4,-3.1,-28.83,58068.2,20.5,False
2008-12-01,3248.7,3.3,-14.34,61316.9,19.5,False
2009-01-01,6131.6,-17.1,88.74,6131.6,-17.1,False
2009-02-01,4108.2,-1.2,-33.0,10239.8,-11.4,False
2009-03-01,4402.2,-0.3,7.16,14642.0,-8.3,False
2009-04-01,5897.2,-13.6,33.96,20539.2,-9.9,False
2009-05-01,6569.5,4.8,11.4,27108.7,-6.7,False
2009-06-01,6867.5,19.6,4.54,33976.1,-2.4,False
2009-07-01,6695.9,10.2,-2.5,40672.0,-0.5,False
2009-08-01,5237.5,36.1,-21.78,45909.5,2.6,False
2009-09-01,5609.4,33.0,7.1,51518.9,5.3,False
2009-10-01,6844.9,28.4,22.03,58363.8,7.5,False
2009-11-01,5029.3,32.6,-26.53,63393.1,9.2,False
2009-12-01,5083.9,56.5,1.09,68477.0,11.7,False
2010-01-01,8658.7,41.2,70.32,8658.7,41.2,False
2010-02-01,4945.0,20.4,-42.89,13603.6,32.9,False
2010-03-01,6023.4,36.8,21.81,19627.1,34.0,False
2010-04-01,7925.7,34.4,31.58,27552.7,34.1,False
2010-05-01,7917.7,20.5,-0.1,35470.4,30.8,False
2010-06-01,7879.4,14.7,-0.48,43349.8,27.6,False
2010-07-01,7783.2,16.2,-1.22,51133.0,25.7,False
2010-08-01,5619.4,7.3,-27.8,56752.3,23.6,False
2010-09-01,6287.2,12.1,11.88,63039.5,22.4,False
2010-10-01,7860.3,14.8,25.02,70899.8,21.5,False
2010-11-01,5840.7,16.1,-25.69,76740.5,21.1,False
2010-12-01,6339.5,24.7,8.54,83080.0,21.3,False
2011-01-01,11497.4,32.8,81.36,11497.4,32.8,False
2011-02-01,6997.0,41.5,-39.14,18494.4,36.0,False
2011-03-01,7631.4,26.7,9.07,26125.7,33.1,False
2011-04-01,10082.1,27.2,32.11,36207.8,31.4,False
2011-05-01,10612.3,34.0,5.26,46820.1,32.0,False
2011-06-01,10055.8,27.6,-5.24,56875.8,31.2,False
2011-07-01,9864.1,26.7,-1.91,66739.9,30.5,False
2011-08-01,7546.4,34.3,-23.5,74286.3,30.9,False
2011-09-01,7377.0,17.3,-2.24,81663.3,29.5,False
2011-10-01,9188.3,16.9,24.55,90851.7,28.1,False
2011-11-01,6457.3,10.6,-29.72,97309.0,26.8,False
2011-12-01,6431.0,1.4,-0.41,103740.0,24.8,False
2012-01-01,12912.6,12.3,100.79,12912.6,12.3,False
2012-02-01,8005.7,14.4,-38.0,20918.3,13.1,False
2012-03-01,9058.0,18.7,13.14,29976.2,14.7,False
2012-04-01,10774.0,6.9,18.94,40750.2,12.5,False
2012-05-01,12004.8,13.1,11.42,52755.0,12.7,False
2012-06-01,11040.2,9.8,-8.03,63795.3,12.2,False
2012-07-01,10671.7,8.2,-3.34,74467.0,11.6,False
2012-08-01,7863.0,4.2,-26.32,82330.0,10.8,False
2012-09-01,8258.4,11.9,5.03,90588.4,10.9,False
2012-10-01,10443.6,13.7,26.46,101032.0,11.2,False
2012-11-01,7871.3,21.9,-24.63,108903.3,11.9,False
2012-12-01,8306.7,29.2,5.53,117210.0,12.8,False
2013-01-01,13655.9,5.8,64.4,13655.9,5.8,False
2013-02-01,8770.3,9.6,-35.78,22426.1,7.2,False
2013-03-01,9607.8,6.1,9.55,32033.9,6.9,False
2013-04-01,11430.8,6.1,18.97,43464.7,6.7,False
2013-05-01,12749.3,6.2,11.53,56214.0,6.6,False
2013-06-01,12376.5,12.1,-2.92,68590.5,7.5,False
2013-07-01,11848.6,11.0,-4.27,80439.1,8.0,False
2013-08-01,8588.2,9.2,-27.52,89027.3,8.1,False
2013-09-01,9361.7,13.4,9.01,98389.0,8.6,False
2013-10-01,12136.4,16.2,29.64,110525.4,9.4,False
2013-11-01,9125.0,15.9,-24.81,119650.4,9.9,False
2013-12-01,9492.6,14.3,4.03,129143.0,10.1,False
2014-01-01,15434.5,13.0,62.6,15434.5,13.0,False
2014-02-01,9488.0,8.2,-38.53,24922.5,11.1,False
2014-03-01,10103.2,5.2,6.48,35025.7,9.3,False
2014-04-01,12481.3,9.2,23.54,47507.0,9.3,False
2014-05-01,13670.0,7.2,9.52,61177.0,8.8,False
2014-06-01,13461.0,8.8,-1.53,74638.0,8.8,False
2014-07-01,12661.6,6.9,-5.94,87299.6,8.5,False
2014-08-01,9109.4,6.1,-28.05,96409.0,8.3,False
2014-09-01,9952.8,6.3,9.26,106361.8,8.1,False
2014-10-01,13280.2,9.4,33.43,119642.0,8.2,False
2014-11-01,9952.9,9.1,-25.05,129594.9,8.3,False
2014-12-01,10755.1,13.3,8.06,140350.0,8.6,False
2015-01-01,16203.4,5.0,50.66,16203.4,3.4,False
2015-02-01,9513.1,0.3,-41.29,25716.5,3.2,False
2015-03-01,10690.6,5.8,12.38,36407.1,2.4,False
2015-04-01,13502.1,8.2,26.3,49909.2,3.0,False
2015-05-01,14355.5,5.0,6.32,64264.7,5.0,False
2015-06-01,15335.2,13.9,6.82,79599.9,4.7,False
2015-07-01,14249.4,12.5,-7.08,93849.3,7.5,False
2015-08-01,9671.3,6.2,-32.13,103520.6,7.4,False
2015-09-01,10891.9,9.4,12.62,114412.5,7.6,False
2015-10-01,14435.1,8.7,32.53,128847.6,5.4,False
2015-11-01,11087.4,11.4,-23.19,139935.0,8.0,False
2015-12-01,12282.0,14.2,10.78,152217.0,8.4,False
2016-01-01,17166.3,5.9,39.77,17166.3,5.9,False
2016-02-01,10218.5,7.4,-40.47,27384.8,6.3,False
2016-03-01,11511.2,7.7,12.65,38896.0,6.5,False
2016-04-01,15523.0,15.0,34.85,54419.0,8.6,False
2016-05-01,15460.8,7.7,-0.4,69879.8,8.3,False
2016-06-01,15634.0,1.9,1.12,85513.8,7.1,False
2016-07-01,14770.2,3.7,-5.53,100284.0,6.5,False
2016-08-01,9894.1,2.3,-33.01,110178.1,6.0,False
2016-09-01,11221.9,3.0,13.42,121400.0,5.9,False
2016-10-01,15359.1,6.4,36.87,136759.1,5.9,False
2016-11-01,11490.9,3.6,-25.19,148250.0,5.7,False
2016-12-01,11302.0,-8.0,-1.64,159552.0,4.5,False
2017-01-01,20208.1,17.7,78.8,20208.1,17.7,False
2017-02-01,11245.4,10.0,-44.35,31453.5,14.9,False
2017-03-01,12912.5,12.2,14.82,44366.0,14.1,False
2017-04-01,16784.2,8.1,29.98,61150.2,11.8,False
2017-05-01,16073.4,4.0,-4.23,77223.6,10.0,False
2017-06-01,17082.4,9.3,6.28,94306.0,9.8,False
2017-07-01,16456.5,11.4,-3.66,110762.5,10.0,False
2017-08-01,10652.4,7.7,-35.27,121414.9,9.8,False
2017-09-01,12714.0,13.3,19.35,134128.9,9.7,False
2017-10-01,16234.1,5.7,27.69,150363.0,9.2,False
2017-11-01,11385.0,-0.9,-29.87,161748.0,8.4,False
2017-12-01,10819.0,-4.3,-4.97,172567.0,7.4,False
2018-01-01,23621.1,16.9,118.33,23621.1,16.9,False
2018-02-01,12932.3,15.0,-45.25,36553.4,15.8,False
2018-03-01,13992.6,8.4,8.2,50546.0,13.6,False
2018-04-01,18473.0,10.1,32.02,69019.0,12.9,False
2018-05-01,17631.0,9.7,-4.56,86650.0,12.2,False
2018-06-01,17681.0,3.5,0.28,104331.0,10.6,False
2018-07-01,17460.0,6.1,-1.25,121791.0,10.0,False
2018-08-01,11077.0,4.0,-36.56,132868.0,9.4,False
2018-09-01,12963.0,2.0,17.03,145831.0,8.7,False
2018-10-01,15727.0,-3.1,21.32,161558.0,7.4,False
2018-11-01,10775.0,-5.4,-31.49,172333.0,6.5,False
2018-12-01,11019.0,1.8,2.26,183352.0,6.2,False
2019-02-01,,,,39104.0,7.0,True
2019-03-01,14552.0,4.0,,53656.0,6.2,False
2019-04-01,18995.0,2.8,30.53,72651.0,5.3,False
2019-05-01,17268.0,-2.1,-9.09,89919.0,3.8,False
2019-06-01,17927.0,1.4,3.82,107846.0,3.4,False
2019-07-01,17777.0,1.8,-0.84,125623.0,3.1,False
2019-08-01,11438.0,3.3,-35.66,137061.0,3.2,False
2019-09-01,13617.0,5.0,19.05,150678.0,3.3,False
2019-10-01,17026.0,8.3,25.03,167704.0,3.8,False
2019-11-01,11263.0,4.5,-33.85,178967.0,3.8,False
2019-12-01,11415.0,3.6,1.35,190382.0,3.8,False
2020-02-01,,,,35232.0,-9.9,True
2020-03-01,10752.0,-26.1,,45984.0,-14.3,False
2020-04-01,16149.0,-15.0,50.2,62133.0,-14.5,False
2020-05-01,15539.0,-10.0,-3.78,77672.0,-13.6,False
2020-06-01,18504.0,3.2,19.08,96176.0,-10.8,False
2020-07-01,18549.0,4.3,0.24,114725.0,-8.7,False
2020-08-01,12043.0,5.3,-35.07,126768.0,-7.5,False
