date,value,yoy,mom,ytd_value,ytd_yoy,jan_feb_combined
2008-02-01,,,,8121.3,,True
2008-03-01,10195.6,27.3,,18316.9,,False
2008-04-01,10093.1,25.4,-1.01,28410.1,,False
2008-05-01,11854.1,25.4,17.45,40264.2,,False
2008-06-01,18171.8,29.5,53.29,58436.0,,False
2008-07-01,13724.1,29.2,-24.48,72160.1,,False
2008-08-01,12759.6,28.1,-7.03,84919.7,,False
2008-09-01,14951.0,29.0,17.17,99870.7,,False
2008-10-01,13318.4,24.4,-10.92,113189.1,,False
2008-11-01,14425.1,23.8,8.31,127614.1,,False
2008-12-01,20553.1,22.3,42.48,148167.2,,False
2009-02-01,,,,10275.8,,True
2009-03-01,13286.2,30.3,,23562.0,,False
2009-04-01,13520.3,34.0,1.76,37082.3,,False
2009-05-01,16438.0,38.7,21.58,53520.3,,False
2009-06-01,24578.0,35.2,49.52,78098.4,,False
2009-07-01,17833.7,29.9,-27.44,95932.0,,False
2009-08-01,17052.8,33.6,-4.38,112984.8,,False
2009-09-01,20191.8,35.0,18.41,133176.6,,False
2009-10-01,17533.2,31.6,-13.17,150709.8,,False
2009-11-01,17924.4,24.3,2.23,168634.2,,False
2009-12-01,25504.4,24.1,42.29,194138.6,,False
2010-02-01,,,,13014.0,,True
2010-03-01,16778.7,26.3,,29792.7,,False
2010-04-01,16950.1,25.4,1.02,46742.8,,False
2010-05-01,20615.6,25.4,21.63,67358.3,,False
2010-06-01,30689.1,24.9,48.86,98047.4,,False
2010-07-01,21818.9,22.4,-28.9,119866.2,,False
2010-08-01,21131.5,23.9,-3.15,140997.7,,False
2010-09-01,24871.8,23.2,17.7,165869.6,,False
2010-10-01,21686.5,23.7,-12.81,187556.1,,False
2010-11-01,23141.7,29.1,6.71,210697.8,,False
2010-12-01,30717.1,20.4,32.73,241414.9,,False
2011-02-01,,,,17444.2,,True
2011-03-01,22020.8,31.2,,39464.9,,False
2011-04-01,23251.3,37.2,5.59,62716.2,,False
2011-05-01,27538.3,33.6,18.44,90254.5,,False
2011-06-01,34312.2,11.8,24.6,124566.7,,False
2011-07-01,27853.2,27.7,-18.82,152419.9,,False
2011-08-01,28187.8,33.4,1.2,180607.6,,False
2011-09-01,31666.4,27.3,12.34,212274.0,,False
2011-10-01,29091.1,34.1,-8.13,241365.1,,False
2011-11-01,28087.0,21.4,-3.45,269452.1,,False
2011-12-01,32480.7,5.7,15.64,301932.8,,False
2012-02-01,,,,21188.8,,True
2012-03-01,26676.6,21.1,,47865.4,,False
2012-04-01,27726.2,19.2,3.93,75591.6,,False
2012-05-01,33332.6,21.0,20.22,108924.2,,False
2012-06-01,41785.8,21.8,25.36,150710.1,,False
2012-07-01,33601.7,20.6,-19.59,184311.8,,False
2012-08-01,33646.3,19.4,0.13,217958.1,,False
2012-09-01,38974.9,23.1,15.84,256933.0,,False
2012-10-01,35609.0,22.4,-8.64,292542.0,,False
2012-11-01,33694.2,20.0,-5.38,326236.2,,False
2012-12-01,38598.9,18.8,14.56,364835.1,,False
2013-02-01,,,,25675.9,,True
2013-03-01,32416.4,21.5,,58092.3,,False
2013-04-01,33226.9,19.8,2.5,91319.2,,False
2013-05-01,39891.5,19.7,20.06,131210.6,,False
2013-06-01,50107.0,19.9,25.61,181317.6,,False
2013-07-01,40404.6,20.2,-19.36,221722.2,,False
2013-08-01,40855.8,21.4,1.12,262578.1,,False
2013-09-01,46629.5,19.6,14.13,309207.6,,False
2013-10-01,42461.7,19.2,-8.94,351669.2,,False
2013-11-01,39613.3,17.6,-6.71,391282.5,,False
2013-12-01,45245.2,17.2,14.22,436527.7,,False
2014-02-01,,,,30283.0,,True
2014-03-01,38038.7,17.3,,68321.7,,False
2014-04-01,38756.1,16.6,1.89,107077.8,,False
2014-05-01,46638.6,16.9,20.34,153716.5,,False
2014-06-01,59054.0,17.9,26.62,212770.4,,False
2014-07-01,46722.5,15.6,-20.88,259492.9,,False
2014-08-01,46293.6,13.3,-0.92,305786.5,,False
2014-09-01,52000.7,11.5,12.33,357787.2,,False
2014-10-01,48373.4,13.9,-6.98,406160.6,,False
2014-11-01,44907.0,13.4,-7.17,451067.6,,False
2014-12-01,50937.3,12.6,13.43,502004.9,,False
2015-02-01,,,,34477.4,,True
2015-03-01,43033.8,13.1,,77511.2,,False
2015-04-01,42467.2,9.6,-1.32,119978.5,,False
2015-05-01,51266.9,9.9,20.72,171245.4,,False
2015-06-01,65886.5,11.6,28.52,237131.9,,False
2015-07-01,51336.6,9.9,-22.08,288468.5,,False
2015-08-01,50508.9,9.1,-1.61,338977.4,,False
2015-09-01,55553.7,6.8,9.99,394531.0,,False
2015-10-01,52893.8,9.3,-4.79,447424.9,,False
2015-11-01,49757.3,10.8,-5.93,497182.2,,False
2015-12-01,54407.8,6.8,9.35,551590.0,,False
2016-02-01,,,,38008.0,,True
2016-03-01,47835.0,11.2,,85843.0,,False
2016-04-01,46749.0,10.1,-2.27,132592.0,,False
2016-05-01,55079.0,7.4,17.82,187671.0,,False
2016-06-01,70689.0,7.3,28.34,258360.0,,False
2016-07-01,53334.0,3.9,-24.55,311694.0,,False
2016-08-01,54645.0,8.2,2.46,366339.0,,False
2016-09-01,60567.0,9.0,10.84,426906.0,,False
2016-10-01,57523.0,8.8,-5.03,484429.0,,False
2016-11-01,54119.0,8.8,-5.92,538548.0,,False
2016-12-01,57953.0,6.5,7.08,596501.0,,False
2017-02-01,,,,41378.0,,True
2017-03-01,52399.0,9.5,,93777.0,,False
2017-04-01,50550.0,8.1,-3.53,144327.0,,False
2017-05-01,59391.0,7.8,17.49,203718.0,,False
2017-06-01,76887.0,8.8,29.46,280605.0,,False
2017-07-01,56804.0,6.5,-26.12,337409.0,,False
2017-08-01,56741.0,3.8,-0.11,394150.0,,False
2017-09-01,64328.0,6.2,13.37,458478.0,,False
2017-10-01,59340.0,3.2,-7.75,517818.0,,False
2017-11-01,57239.0,5.8,-3.54,575057.0,,False
2017-12-01,56627.0,-2.3,-1.07,631684.0,,False
2018-02-01,,,,44626.0,,True
2018-03-01,56137.0,7.1,,100763.0,,False
2018-04-01,53595.0,6.0,-4.53,154358.0,,False
2018-05-01,61685.0,3.9,15.09,216043.0,,False
2018-06-01,81273.0,5.7,31.75,297316.0,,False
2018-07-01,58482.0,3.0,-28.04,355798.0,,False
2018-08-01,59360.0,4.6,1.5,415158.0,,False
2018-09-01,68284.0,6.2,15.03,483442.0,,False
2018-10-01,64125.0,8.1,-6.09,547567.0,,False
2018-11-01,61700.0,7.8,-3.78,609267.0,,False
