date,value,yoy,mom,ytd_value,ytd_yoy,jan_feb_combined
2008-01-01,90.2,27.6,-1.69,90.2,27.6,False
2008-02-01,78.8,35.1,-12.6,168.9,30.9,False
2008-03-01,95.6,24.6,21.24,264.5,28.6,False
2008-04-01,102.0,26.4,6.77,366.6,27.9,False
2008-05-01,100.3,40.0,-1.71,467.0,30.4,False
2008-06-01,100.2,31.0,-0.11,567.5,30.6,False
2008-07-01,111.4,33.7,11.2,679.2,31.1,False
2008-08-01,106.2,23.1,-4.68,785.7,30.0,False
2008-09-01,107.1,21.3,0.84,893.1,29.0,False
2008-10-01,93.1,15.6,-13.06,986.3,27.6,False
2008-11-01,74.9,-17.9,-19.54,1061.2,22.8,False
2008-12-01,72.2,-21.3,-3.63,1133.1,18.5,False
2009-01-01,51.3,-43.1,-28.86,51.3,-43.1,False
2009-02-01,60.1,-24.1,16.96,111.4,-34.2,False
2009-03-01,71.7,-25.1,19.44,183.2,-30.9,False
2009-04-01,78.8,-23.0,9.86,262.0,-28.7,False
2009-05-01,75.4,-25.2,-4.35,337.3,-28.0,False
2009-06-01,87.2,-13.2,15.67,424.6,-25.4,False
2009-07-01,94.8,-14.9,8.73,519.6,-23.6,False
2009-08-01,88.0,-17.0,-7.17,607.9,-22.7,False
2009-09-01,103.0,-3.5,17.06,711.2,-20.4,False
2009-10-01,86.8,-6.4,-15.76,798.1,-19.0,False
2009-11-01,94.6,26.7,8.97,893.0,-15.8,False
2009-12-01,112.3,55.9,18.75,1005.6,-11.2,False
2010-01-01,95.3,85.5,-15.13,95.3,85.5,False
2010-02-01,86.9,44.7,-8.81,182.3,63.6,False
2010-03-01,119.3,66.0,37.32,301.7,64.6,False
2010-04-01,118.2,49.7,-0.93,419.9,60.1,False
2010-05-01,112.2,48.3,-5.08,532.4,57.5,False
2010-06-01,117.4,34.1,4.59,649.8,52.7,False
2010-07-01,116.8,22.7,-0.5,766.6,47.2,False
2010-08-01,119.3,35.2,2.12,885.8,45.5,False
2010-09-01,128.1,24.1,7.42,1014.0,42.4,False
2010-10-01,108.8,25.3,-15.05,1122.8,40.5,False
2010-11-01,130.4,37.7,19.85,1253.4,40.3,False
2010-12-01,141.1,25.6,8.15,1394.8,38.7,False
2011-01-01,144.3,51.0,2.27,144.3,51.0,False
2011-02-01,104.0,19.5,-27.89,248.4,36.0,False
2011-03-01,152.1,27.3,46.15,400.6,32.6,False
