date,m2_yoy,m1_yoy,m2_level,m1_level
2008-01-01,18.9,20.5,417846.2,154872.6
2008-02-01,17.4,19.0,421037.8,150177.9
2008-03-01,16.2,18.0,423054.5,150867.5
2008-04-01,16.9,19.0,429313.7,151694.9
2008-05-01,18.1,17.9,436221.6,153344.8
2008-06-01,17.4,14.2,443141.0,154820.2
2008-07-01,16.4,14.0,446362.2,154992.4
2008-08-01,16.0,11.5,448846.7,156889.9
2008-09-01,15.3,9.4,452898.7,155749.0
2008-10-01,15.0,8.8,453133.3,157194.4
2008-11-01,14.8,6.8,458644.7,157826.6
2008-12-01,17.8,9.1,475166.6,166217.1
2009-01-01,18.8,6.7,496135.3,165214.3
2009-02-01,20.5,10.9,506708.1,166149.6
2009-03-01,25.5,17.0,530626.7,176541.1
2009-04-01,26.0,17.5,540481.2,178213.6
2009-05-01,25.7,18.7,548263.5,182025.6
2009-06-01,28.5,24.8,568916.2,193138.2
2009-07-01,28.4,26.4,573102.9,195889.3
2009-08-01,28.5,27.7,576699.0,200394.8
2009-09-01,29.3,29.5,585405.3,201708.1
2009-10-01,29.4,32.0,586643.3,207545.7
2009-11-01,29.7,34.6,594604.7,212493.2
2009-12-01,27.7,32.4,610224.5,221445.8
2010-01-01,26.0,39.0,625609.3,229589.0
2010-02-01,25.5,35.0,636072.3,224287.0
2010-03-01,22.5,29.9,649947.5,229397.9
2010-04-01,21.5,31.2,656561.2,233909.8
2010-05-01,21.0,29.9,663351.4,236497.9
2010-06-01,18.5,24.6,673921.7,240580.0
2010-07-01,17.6,22.9,674051.5,240664.1
2010-08-01,19.2,21.9,687506.9,244340.6
2010-09-01,19.0,20.9,696471.5,243821.9
2010-10-01,19.3,22.1,699776.7,253313.2
2010-11-01,19.5,22.1,710339.0,259420.3
2010-12-01,19.7,21.2,725851.8,266621.5
2011-01-01,17.2,13.6,733884.8,261765.0
2011-02-01,15.7,14.5,736130.9,259200.5
2011-03-01,16.6,15.0,758130.9,266255.5
2011-04-01,15.3,12.9,757384.6,266766.9
2011-05-01,15.1,12.7,763409.2,269289.6
2011-06-01,15.9,13.1,780820.8,274662.6
2011-07-01,14.7,11.6,772923.6,270545.6
2011-08-01,13.5,11.2,780852.3,273393.8
2011-09-01,13.0,8.8,787406.2,267193.2
2011-10-01,12.9,8.4,816829.2,276552.7
2011-11-01,12.7,7.8,825493.9,281416.4
2011-12-01,13.6,7.9,851590.9,289847.7
2012-01-01,12.4,3.1,855898.9,270010.4
2012-02-01,13.0,4.3,867171.4,270312.1
2012-03-01,13.4,4.4,895565.5,277998.1
