date,value,yoy,mom,ytd_value,ytd_yoy,jan_feb_combined
2008-01-01,8058.0,42.3,1561.44,8058.0,42.3,False
2008-02-01,2434.0,-41.2,-69.79,10492.0,7.1,False
2008-03-01,2834.0,-35.8,16.43,13326.0,-6.3,False
2008-04-01,4690.0,11.1,65.49,18016.0,-2.3,False
2008-05-01,3185.0,28.8,-32.09,21201.0,1.4,False
2008-06-01,3324.0,-26.4,4.36,24525.0,-3.5,False
2008-07-01,3818.0,65.0,14.86,28343.0,2.2,False
2008-08-01,2715.0,-10.4,-28.89,31058.0,0.9,False
2008-09-01,3745.0,32.1,37.94,34803.0,3.6,False
2008-10-01,1819.0,33.7,-51.43,36622.0,4.7,False
2008-11-01,4775.0,446.3,162.51,41397.0,15.5,False
2008-12-01,7645.0,1476.3,60.1,49042.0,35.0,False
2009-01-01,16177.0,100.8,111.6,16177.0,100.8,False
2009-02-01,10715.0,340.2,-33.76,26892.0,156.3,False
2009-03-01,18920.0,567.6,76.57,45812.0,243.8,False
2009-04-01,5918.0,26.2,-68.72,51730.0,187.1,False
2009-05-01,6669.0,109.4,12.69,58399.0,175.5,False
2009-06-01,15304.0,360.4,129.48,73703.0,200.5,False
2009-07-01,3691.0,-3.3,-75.88,77394.0,173.1,False
2009-08-01,4104.0,51.2,11.19,81498.0,162.4,False
2009-09-01,5167.0,38.0,25.9,86665.0,149.0,False
2009-10-01,2530.0,39.1,-51.04,89195.0,143.6,False
2009-11-01,2948.0,-38.3,16.52,92143.0,122.6,False
2009-12-01,3800.0,-50.3,28.9,95943.0,95.6,False
2010-01-01,13934.0,-13.9,266.68,13934.0,-13.9,False
2010-02-01,6999.0,-34.7,-49.77,20933.0,-22.2,False
2010-03-01,5107.0,-73.0,-27.03,26040.0,-43.2,False
2010-04-01,7740.0,30.8,51.56,33780.0,-34.7,False
2010-05-01,6493.0,-2.6,-16.11,40273.0,-31.0,False
2010-06-01,6027.0,-60.6,-7.18,46300.0,-37.2,False
2010-07-01,5327.0,44.3,-11.61,51627.0,-33.3,False
2010-08-01,5446.0,32.7,2.23,57073.0,-30.0,False
2010-09-01,6004.0,16.2,10.25,63077.0,-27.2,False
2010-10-01,5877.0,132.3,-2.12,68954.0,-22.7,False
2010-11-01,5689.0,93.0,-3.2,74643.0,-19.0,False
2010-12-01,4807.0,26.5,-15.5,79450.0,-17.2,False
2011-01-01,10263.0,-26.3,113.5,10263.0,-26.3,False
2011-02-01,5377.0,-23.2,-47.61,15640.0,-25.3,False
2011-03-01,6794.0,33.0,26.35,22434.0,-13.8,False
2011-04-01,7430.0,-4.0,9.36,29864.0,-11.6,False
2011-05-01,5516.0,-15.0,-25.76,35380.0,-12.1,False
2011-06-01,6339.0,5.2,14.92,41719.0,-9.9,False
2011-07-01,4916.0,-7.7,-22.45,46635.0,-9.7,False
2011-08-01,5484.0,0.7,11.55,52119.0,-8.7,False
2011-09-01,4693.0,-21.8,-14.42,56812.0,-9.9,False
2011-10-01,5868.0,-0.2,25.04,62680.0,-9.1,False
2011-11-01,5629.0,-1.1,-4.07,68309.0,-8.5,False
2011-12-01,6406.0,33.3,13.8,74715.0,-6.0,False
2012-01-01,7381.0,-28.1,15.22,7381.0,-28.1,False
2012-02-01,7107.0,32.2,-3.71,14488.0,-7.4,False
2012-03-01,10114.4,48.9,42.32,24602.4,9.7,False
2012-04-01,6817.8,-8.2,-32.59,31420.2,5.2,False
2012-05-01,7932.3,43.8,16.35,39352.5,11.2,False
2012-06-01,9198.2,45.1,15.96,48550.7,16.4,False
2012-07-01,5401.2,9.9,-41.28,53951.9,15.7,False
2012-08-01,7039.4,28.4,30.33,60991.4,17.0,False
2012-09-01,6226.2,32.7,-11.55,67217.6,18.3,False
2012-10-01,5053.7,-13.9,-18.83,72271.3,15.3,False
2012-11-01,5220.4,-7.3,3.3,77491.7,13.4,False
2012-12-01,4546.1,-29.0,-12.92,82037.8,9.8,False
2013-01-01,10721.0,45.3,135.83,10721.0,45.3,False
2013-02-01,6200.0,-12.8,-42.17,16921.0,16.8,False
2013-03-01,10625.0,5.0,71.37,27546.0,12.0,False
2013-04-01,7923.0,16.2,-25.43,35469.0,12.9,False
2013-05-01,6694.0,-15.6,-15.51,42163.0,7.1,False
2013-06-01,8628.0,-6.2,28.89,50791.0,4.6,False
2013-07-01,6997.0,29.5,-18.9,57788.0,7.1,False
2013-08-01,7128.0,1.3,1.87,64916.0,6.4,False
2013-09-01,7870.0,26.4,10.41,72786.0,8.3,False
2013-10-01,5060.0,0.1,-35.71,77846.0,7.7,False
2013-11-01,6246.0,19.6,23.44,84092.0,8.5,False
2013-12-01,4825.0,6.1,-22.75,88917.0,8.4,False
2014-01-01,13190.0,23.0,173.37,13190.0,23.0,False
2014-02-01,6448.0,4.0,-51.11,19638.0,16.1,False
2014-03-01,10497.0,-1.2,62.79,30135.0,9.4,False
2014-04-01,7745.0,-2.2,-26.22,37880.0,6.8,False
2014-05-01,8708.0,30.1,12.43,46588.0,10.5,False
2014-06-01,10793.0,25.1,23.94,57381.0,13.0,False
2014-07-01,3852.0,-44.9,-64.31,61233.0,6.0,False
2014-08-01,7025.0,-1.4,82.37,68258.0,5.1,False
2014-09-01,8572.0,8.9,22.02,76830.0,5.6,False
2014-10-01,5483.0,8.4,-36.04,82313.0,5.7,False
2014-11-01,8527.0,36.5,55.52,90840.0,8.0,False
2014-12-01,6973.0,44.5,-18.22,97813.0,10.0,False
2015-01-01,14707.9,11.5,110.93,14707.9,11.5,False
2015-02-01,11437.0,77.4,-22.24,26144.9,33.1,False
2015-03-01,9919.9,-5.5,-13.27,36064.7,19.7,False
2015-04-01,8045.1,3.9,-18.9,44109.8,16.4,False
2015-05-01,8510.2,-2.3,5.78,52620.0,12.9,False
2015-06-01,13239.6,22.7,55.57,65859.5,14.8,False
2015-07-01,5890.5,52.9,-55.51,71750.0,17.2,False
2015-08-01,7755.9,10.4,31.67,79505.9,16.5,False
2015-09-01,10417.2,21.5,34.31,89923.2,17.0,False
2015-10-01,5573.8,1.7,-46.49,95496.9,16.0,False
2015-11-01,8872.9,4.1,59.19,104369.8,14.9,False
2015-12-01,8323.1,19.4,-6.2,112692.9,15.2,False
2016-01-01,25370.1,72.5,204.82,25370.1,72.5,False
2016-02-01,8105.4,-29.1,-68.05,33475.5,28.0,False
2016-03-01,13175.6,32.8,62.55,46651.1,29.4,False
2016-04-01,5642.1,-29.9,-57.18,52293.1,18.6,False
2016-05-01,9374.3,10.2,66.15,61667.4,17.2,False
2016-06-01,13141.1,-0.7,40.18,74808.5,13.6,False
2016-07-01,4550.2,-22.8,-65.37,79358.7,10.6,False
2016-08-01,7969.2,2.7,75.14,87327.9,9.8,False
2016-09-01,12628.1,21.2,58.46,99956.0,11.2,False
2016-10-01,6010.3,7.8,-52.4,105966.3,11.0,False
2016-11-01,8463.3,-4.6,40.81,114429.6,9.6,False
2016-12-01,9942.8,19.5,17.48,124372.4,10.4,False
2017-01-01,23132.9,-8.8,132.66,23132.9,-8.8,False
2017-02-01,10317.3,27.3,-55.4,33450.2,-0.1,False
2017-03-01,11586.1,-12.1,12.3,45036.2,-3.5,False
2017-04-01,10805.7,91.5,-6.74,55841.9,6.8,False
2017-05-01,11780.4,25.7,9.02,67622.3,9.7,False
2017-06-01,14474.4,10.1,22.87,82096.6,9.7,False
2017-07-01,9151.6,101.1,-36.77,91248.2,15.0,False
2017-08-01,11466.2,43.9,25.29,102714.3,17.6,False
2017-09-01,11884.8,-5.9,3.65,114599.2,14.6,False
2017-10-01,6635.2,10.4,-44.17,121234.4,14.4,False
2017-11-01,11428.5,35.0,72.24,132662.9,15.9,False
2017-12-01,5769.5,-42.0,-49.52,138432.4,11.3,False
2018-01-01,26850.3,16.1,365.38,26850.3,16.1,False
2018-02-01,10199.5,-1.1,-62.01,37049.7,10.8,False
