date,value,yoy,mom,ytd_value,ytd_yoy,jan_feb_combined
2006-01-01,103.1,3.0,,103.0,,False
2006-02-01,103.0,3.0,,103.0,,False
2006-03-01,102.5,2.5,,102.9,,False
2006-04-01,101.9,1.9,,102.6,,False
2006-05-01,102.4,2.4,,102.6,,False
2006-06-01,103.5,3.5,,102.7,,False
2006-07-01,103.6,3.6,,102.9,,False
2006-08-01,103.4,3.4,,102.9,,False
2006-09-01,103.5,3.4,,103.0,,False
2006-10-01,103.0,2.9,,103.0,,False
2006-11-01,102.8,2.8,,103.0,,False
2006-12-01,103.1,3.0,,103.0,,False
2007-01-01,103.3,3.3,,103.3,,False
2007-02-01,102.6,2.6,,103.0,,False
2007-03-01,102.7,2.6,,102.9,,False
2007-04-01,102.9,2.9,,102.9,,False
2007-05-01,102.8,2.8,,102.8,,False
2007-06-01,102.5,2.5,,102.8,,False
2007-07-01,102.4,2.4,,102.7,,False
2007-08-01,102.6,2.6,,102.7,,False
2007-09-01,102.7,2.7,,102.7,,False
2007-10-01,103.2,3.2,,102.8,,False
2007-11-01,104.6,4.6,,102.9,,False
2007-12-01,105.4,5.4,,103.1,,False
2008-01-01,106.1,6.1,,106.1,,False
2008-02-01,106.6,6.6,,106.4,,False
2008-03-01,108.0,8.0,,106.9,,False
2008-04-01,108.1,8.1,,107.2,,False
2008-05-01,108.2,8.2,,107.4,,False
2008-06-01,108.8,8.8,,107.6,,False
2008-07-01,110.0,10.0,,108.0,,False
2008-08-01,110.1,10.1,,108.2,,False
2008-09-01,109.1,9.1,,108.3,,False
2008-10-01,106.6,6.6,,108.2,,False
2008-11-01,102.0,2.0,,107.6,,False
2008-12-01,98.9,-1.1,,106.9,,False
2009-01-01,96.7,-3.4,,96.6,,False
2009-02-01,95.5,-4.5,,96.1,,False
2009-03-01,94.0,-6.0,,95.4,,False
2009-04-01,93.4,-6.6,,94.9,,False
2009-05-01,92.8,-7.2,,94.5,,False
2009-06-01,92.2,-7.8,,94.1,,False
2009-07-01,91.8,-8.2,,93.8,,False
2009-08-01,92.1,-7.9,,93.6,,False
2009-09-01,93.0,-7.0,,93.5,,False
2009-10-01,94.2,-5.8,,93.6,,False
2009-11-01,97.9,-2.1,,94.0,,False
2009-12-01,101.7,1.7,,94.6,,False
2010-01-01,104.3,4.3,,104.3,,False
2010-02-01,105.4,5.4,,104.9,,False
2010-03-01,105.9,5.9,,105.2,,False
2010-04-01,106.8,6.8,,105.6,,False
2010-05-01,107.1,7.1,,105.9,,False
2010-06-01,106.4,6.4,,106.0,,False
2010-07-01,104.8,4.8,,105.8,,False
2010-08-01,104.3,4.3,,105.6,,False
2010-09-01,104.3,4.3,,105.5,,False
2010-10-01,105.0,5.0,,105.4,,False
2010-11-01,106.1,6.1,,105.5,,False
2010-12-01,105.9,5.9,,105.5,,False
2011-01-01,106.6,6.6,,106.6,,False
2011-02-01,107.2,7.2,,106.9,,False
2011-03-01,107.3,7.3,,107.1,,False
2011-04-01,106.8,6.8,,107.0,,False
2011-05-01,106.8,6.8,,107.0,,False
2011-06-01,107.1,7.1,,107.0,,False
2011-07-01,107.5,7.5,,107.1,,False
2011-08-01,107.3,7.3,,107.1,,False
2011-09-01,106.5,6.5,,107.0,,False
2011-10-01,105.0,5.0,,106.8,,False
2011-11-01,102.7,2.7,,106.4,,False
2011-12-01,101.7,1.7,,106.0,,False
2012-01-01,100.7,0.7,,100.7,,False
2012-02-01,100.0,0.0,,100.4,,False
2012-03-01,99.7,-0.3,,100.1,,False
2012-04-01,99.3,-0.7,,99.9,,False
2012-05-01,98.6,-1.4,,99.7,,False
2012-06-01,97.9,-2.1,,99.4,,False
2012-07-01,97.1,-2.9,,99.0,,False
2012-08-01,96.5,-3.5,,98.7,,False
2012-09-01,96.4,-3.6,,98.5,,False
2012-10-01,97.2,-2.8,,98.4,,False
2012-11-01,97.8,-2.2,,98.3,,False
2012-12-01,98.1,-1.9,,98.3,,False
2013-01-01,98.4,-1.6,,98.4,,False
2013-02-01,98.4,-1.6,,98.4,,False
2013-03-01,98.1,-1.9,,98.3,,False
2013-04-01,97.4,-2.6,,98.0,,False
2013-05-01,97.1,-2.9,,97.9,,False
2013-06-01,97.3,-2.7,,97.8,,False
2013-07-01,97.7,-2.3,,97.8,,False
2013-08-01,98.4,-1.6,,97.8,,False
2013-09-01,98.7,-1.3,,97.9,,False
2013-10-01,98.5,-1.5,,98.0,,False
2013-11-01,98.6,-1.4,,98.0,,False
2013-12-01,98.6,-1.4,,98.1,,False
2014-01-01,98.4,-1.6,,98.4,,False
2014-02-01,98.0,-2.0,,98.2,,False
