date,value,yoy,mom,ytd_value,ytd_yoy,jan_feb_combined
2008-01-01,9077.3,21.2,0.69,9077.3,21.2,False
2008-02-01,8354.7,19.1,-7.96,17432.0,20.2,False
2008-03-01,8123.2,21.5,-2.77,25555.2,20.6,False
2008-04-01,8142.0,22.0,0.23,33697.2,21.0,False
2008-05-01,8703.5,21.6,6.9,42400.7,21.1,False
2008-06-01,8642.0,23.0,-0.71,51042.7,21.4,False
2008-07-01,8628.8,23.3,-0.15,59671.5,21.7,False
2008-08-01,8767.7,23.2,1.61,68439.2,21.9,False
2008-09-01,9446.5,23.2,7.74,77885.7,22.0,False
2008-10-01,10082.7,22.0,6.73,87968.4,22.0,False
2008-11-01,9790.8,20.8,-2.9,97759.2,21.9,False
2008-12-01,10728.5,19.0,9.58,108487.7,21.6,False
2009-01-01,10756.6,18.5,0.26,10756.6,18.5,False
2009-02-01,9323.8,11.6,-13.32,20080.4,15.2,False
2009-03-01,9317.6,14.7,-0.07,29398.0,15.0,False
2009-04-01,9343.2,14.8,0.27,38741.2,15.0,False
2009-05-01,10028.4,15.2,7.33,48769.6,15.0,False
2009-06-01,9941.6,15.0,-0.87,58711.2,15.0,False
2009-07-01,9936.5,15.2,-0.05,68647.7,15.0,False
2009-08-01,10115.6,15.4,1.8,78763.3,15.1,False
2009-09-01,10912.8,15.5,7.88,89676.1,15.1,False
2009-10-01,11717.6,16.2,7.37,101393.7,15.3,False
2009-11-01,11339.0,15.8,-3.23,112732.7,15.3,False
2009-12-01,12610.0,17.5,11.21,125342.7,15.5,False
2010-01-01,12718.1,14.0,0.86,12718.1,14.0,False
2010-02-01,12334.2,22.1,-3.02,25052.3,17.9,False
2010-03-01,11321.7,18.0,-8.21,36374.0,17.9,False
2010-04-01,11510.4,18.5,1.67,47884.4,18.1,False
2010-05-01,12455.1,18.7,8.21,60339.5,18.2,False
2010-06-01,12329.9,18.3,-1.01,72669.4,18.2,False
2010-07-01,12252.8,17.9,-0.63,84922.2,18.2,False
2010-08-01,12569.8,18.4,2.59,97492.0,18.2,False
2010-09-01,13536.5,18.8,7.69,111028.5,18.3,False
2010-10-01,14284.8,18.6,5.53,125313.3,18.3,False
2010-11-01,13910.9,18.7,-2.62,139224.2,18.4,False
2010-12-01,15329.5,19.1,10.2,154553.7,18.4,False
2011-01-01,15249.0,19.9,-0.53,15249.0,19.9,False
2011-02-01,13769.1,11.6,-9.7,29018.1,15.8,False
2011-03-01,13588.0,17.4,-1.32,42921.8,16.3,False
2011-04-01,13649.0,17.1,0.45,56570.8,16.5,False
2011-05-01,14696.8,16.9,7.68,71267.6,16.6,False
2011-06-01,14565.1,17.7,-0.9,85832.7,16.8,False
2011-07-01,14408.0,17.2,-1.08,100240.7,16.8,False
2011-08-01,14705.0,17.0,2.06,114945.7,16.9,False
2011-09-01,15865.1,17.7,7.89,130810.8,17.0,False
2011-10-01,16546.4,17.2,4.29,147357.2,17.0,False
2011-11-01,16128.9,17.3,-2.52,163486.1,17.0,False
2011-12-01,17739.7,18.1,9.99,181225.8,17.1,False
2012-02-01,,,,33668.6,14.7,True
2012-03-01,15650.2,15.2,,49318.8,14.8,False
2012-04-01,15603.1,14.1,-0.3,64921.9,14.7,False
2012-05-01,16714.8,13.8,7.12,81636.7,14.5,False
2012-06-01,16584.9,13.7,-0.78,98221.6,14.4,False
2012-07-01,16314.9,13.1,-1.63,114536.5,14.2,False
2012-08-01,16658.9,13.2,2.11,131195.4,14.1,False
2012-09-01,18226.6,14.2,9.41,149422.0,14.1,False
2012-10-01,18933.8,14.5,3.88,168355.8,14.1,False
2012-11-01,18476.7,14.9,-2.41,186832.5,14.2,False
2012-12-01,20334.2,15.2,10.05,207166.7,14.3,False
2013-02-01,,,,37809.8,12.3,True
2013-03-01,17641.2,12.6,,55451.0,12.4,False
2013-04-01,17600.3,12.8,-0.23,73051.3,12.5,False
2013-05-01,18886.3,12.9,7.31,91937.6,12.6,False
2013-06-01,18826.7,13.3,-0.32,110764.3,12.7,False
2013-07-01,18513.2,13.2,-1.67,129277.5,12.8,False
2013-08-01,18886.2,13.4,2.01,148163.7,12.8,False
2013-09-01,20653.3,13.3,9.36,168817.0,12.9,False
2013-10-01,21491.3,13.3,4.06,190308.3,13.0,False
2013-11-01,21011.9,13.7,-2.23,211320.2,13.0,False
2013-12-01,23059.7,13.6,9.75,234380.0,13.1,False
2014-02-01,,,,42280.7,11.8,True
2014-03-01,19800.6,12.2,,62081.2,12.0,False
2014-04-01,19701.2,11.9,-0.5,81782.4,12.0,False
2014-05-01,21249.8,12.5,7.86,103032.2,12.1,False
2014-06-01,21166.4,12.4,-0.39,124198.7,12.1,False
2014-07-01,20775.8,12.2,-1.85,144974.5,12.1,False
2014-08-01,21133.9,11.9,1.72,166108.4,12.1,False
2014-09-01,23042.4,11.6,9.03,189150.8,12.0,False
2014-10-01,23967.2,11.5,4.01,213118.1,12.0,False
2014-11-01,23474.7,11.7,-2.05,236592.8,12.0,False
2014-12-01,25801.3,11.9,9.91,262394.1,12.0,False
2015-02-01,,,,47992.5,10.7,True
2015-03-01,22722.8,10.2,,70715.3,10.6,False
2015-04-01,22386.7,10.0,-1.48,93102.0,10.4,False
2015-05-01,24194.8,10.1,8.08,117296.9,10.4,False
2015-06-01,24280.3,10.6,0.35,141577.1,10.4,False
2015-07-01,24338.8,10.5,0.24,165915.9,10.4,False
2015-08-01,24893.4,10.8,2.28,190809.3,10.5,False
2015-09-01,25270.6,10.9,1.52,216079.9,10.5,False
2015-10-01,28278.9,11.0,11.9,244358.8,10.6,False
2015-11-01,27937.3,11.2,-1.21,272296.1,10.6,False
2015-12-01,28634.6,11.1,2.5,300930.8,10.7,False
2016-02-01,,,,52910.3,10.2,True
2016-03-01,25114.1,10.5,,78024.4,10.3,False
2016-04-01,24645.8,10.1,-1.86,102670.2,10.3,False
2016-05-01,26610.7,10.0,7.97,129280.9,10.2,False
2016-06-01,26857.4,10.6,0.93,156138.3,10.3,False
2016-07-01,26827.4,10.2,-0.11,182965.8,10.3,False
2016-08-01,27539.6,10.6,2.65,210505.4,10.3,False
2016-09-01,27976.4,10.7,1.59,238481.8,10.4,False
2016-10-01,31119.2,10.0,11.23,269601.0,10.3,False
2016-11-01,30958.5,10.8,-0.52,300559.5,10.4,False
2016-12-01,31757.0,10.9,2.58,332316.0,10.4,False
2017-02-01,,,,57959.7,9.5,True
2017-03-01,27863.7,10.9,,85823.4,10.0,False
2017-04-01,27278.5,10.7,-2.1,113101.9,10.2,False
2017-05-01,29459.2,10.7,7.99,142561.1,10.3,False
2017-06-01,29807.6,11.0,1.18,172368.7,10.4,False
2017-07-01,29609.8,10.4,-0.66,201978.5,10.4,False
2017-08-01,30329.7,10.1,2.43,232308.2,10.4,False
2017-09-01,30870.3,10.3,1.78,263178.4,10.4,False
2017-10-01,34240.9,10.0,10.92,297419.4,10.3,False
2017-11-01,34108.2,10.2,-0.39,331527.5,10.3,False
