date,value,rmb_loans
2015-01-01,20516.0,14708.0
2015-02-01,13609.0,11437.0
2015-03-01,12433.0,9920.0
2015-04-01,10582.0,8045.0
2015-05-01,12397.0,8510.0
2015-06-01,18384.0,13240.0
2015-07-01,7511.0,5890.0
2015-08-01,11097.0,7756.0
2015-09-01,13571.0,10417.0
2015-10-01,5593.0,5574.0
2015-11-01,10255.0,8873.0
2015-12-01,18114.0,8323.0
2016-01-01,34758.0,25370.0
2016-02-01,8312.0,8105.0
2016-03-01,23931.0,13176.0
2016-04-01,7809.0,5642.0
2016-05-01,6770.0,9374.0
2016-06-01,16479.0,13141.0
2016-07-01,4791.0,4550.0
2016-08-01,14605.0,7969.0
2016-09-01,17115.0,12628.0
2016-10-01,8865.0,6010.0
2016-11-01,18328.0,8463.0
2016-12-01,16397.0,9943.0
2017-01-01,36970.0,23133.0
2017-02-01,10908.0,10317.0
2017-03-01,21186.0,11586.0
2017-04-01,13880.0,10806.0
2017-05-01,10631.0,11780.0
2017-06-01,17718.0,14474.0
2017-07-01,11956.0,9152.0
2017-08-01,14895.0,11466.0
2017-09-01,18335.0,11885.0
2017-10-01,10357.0,6635.0
2017-11-01,16128.0,11428.0
2017-12-01,11481.0,5769.0
2018-01-01,30793.0,26850.0
2018-02-01,11894.0,10199.0
2018-03-01,15848.0,11425.0
2018-04-01,17761.0,10987.0
2018-05-01,9518.0,11396.0
2018-06-01,14877.0,16787.0
2018-07-01,12254.0,12861.0
2018-08-01,19391.0,13140.0
2018-09-01,21691.0,14341.0
2018-10-01,7420.0,7141.0
2018-11-01,15239.0,12302.0
2018-12-01,15898.0,9281.0
2019-01-01,46791.0,35668.0
2019-02-01,9665.0,7641.0
2019-03-01,29602.0,19584.0
2019-04-01,16710.0,8733.0
2019-05-01,17124.0,11855.0
2019-06-01,26243.0,16737.0
2019-07-01,12872.0,8086.0
2019-08-01,21956.0,13045.0
2019-09-01,25142.0,17612.0
2019-10-01,8680.0,5470.0
2019-11-01,19937.0,13633.0
2019-12-01,22013.0,10770.0
2020-01-01,50535.0,34924.0
2020-02-01,8737.0,7202.0
2020-03-01,51838.0,30390.0
2020-04-01,31027.0,16239.0
2020-05-01,31866.0,15502.0
2020-06-01,34681.0,19029.0
2020-07-01,16928.0,10221.0
2020-08-01,35853.0,14201.0
2020-09-01,34693.0,19171.0
2020-10-01,13929.0,6663.0
2020-11-01,21355.0,15309.0
2020-12-01,17192.0,11458.0
2021-01-01,51884.0,38182.0
2021-02-01,17243.0,13413.0
2021-03-01,33762.0,27511.0
2021-04-01,18570.0,12840.0
2021-05-01,19522.0,14294.0
2021-06-01,37017.0,23182.0
2021-07-01,10752.0,8391.0
2021-08-01,29893.0,12713.0
2021-09-01,29026.0,17755.0
2021-10-01,16176.0,7752.0
2021-11-01,25983.0,13021.0
2021-12-01,23682.0,10350.0
2022-01-01,61759.0,41988.0
2022-02-01,12170.0,9084.0
2022-03-01,46565.0,32291.0
2022-04-01,9327.0,3616.0
2022-05-01,28415.0,18230.0
2022-06-01,51926.0,61759.0
2022-07-01,7785.0,4088.0
2022-08-01,24712.0,13344.0
2022-09-01,35411.0,25686.0
2022-10-01,9134.0,4431.0
2022-11-01,19837.0,11448.0
2022-12-01,13058.0,14401.0
2023-01-01,59956.0,49314.0
2023-02-01,31610.0,18184.0
2023-03-01,53867.0,39487.0
2023-04-01,12249.0,4431.0
2023-05-01,15560.0,12219.0
2023-06-01,42265.0,32413.0
2023-07-01,5366.0,364.0
2023-08-01,31279.0,13412.0
2023-09-01,41326.0,25369.0
2023-10-01,18441.0,4837.0
2023-11-01,24554.0,11120.0
2023-12-01,19401.0,11092.0
2024-01-01,64734.0,48401.0
2024-02-01,14959.0,9773.0
2024-03-01,48335.0,32920.0
2024-04-01,-658.0,3349.0
2024-05-01,20623.0,8197.0
2024-06-01,32985.0,21927.0
2024-07-01,7707.0,-808.0
2024-08-01,30323.0,10411.0
2024-09-01,37635.0,19742.0
2024-10-01,14120.0,2965.0
2024-11-01,23288.0,5216.0
2024-12-01,28507.0,8402.0
2025-01-01,70546.0,52194.0
2025-02-01,22331.0,6528.0
2025-03-01,58961.0,38234.0
2025-04-01,11599.0,884.0
2025-05-01,22900.0,5923.0
2025-06-01,42251.0,23600.0
2025-07-01,11307.0,-4296.0
2025-08-01,25660.0,6253.0
2025-09-01,35299.0,16081.0
2025-10-01,8178.0,-154.0
2025-11-01,24926.0,4096.0
2025-12-01,22075.0,9804.0
2026-01-01,72185.0,49016.0
2026-02-01,23837.0,8458.0
2026-03-01,52240.0,31522.0
2026-04-01,6245.0,-4006.0
